date,California,New York,CA_daily,NY_daily
01/22/2020,0,0,0,0
01/23/2020,0,0,0,0
01/24/2020,0,0,0,0
01/25/2020,0,0,0,0
01/26/2020,2,0,2,0
01/27/2020,2,0,0,0
01/28/2020,2,0,0,0
01/29/2020,2,0,0,0
01/30/2020,2,0,0,0
01/31/2020,3,0,1,0
02/01/2020,3,0,0,0
02/02/2020,3,0,0,0
02/03/2020,6,0,3,0
02/04/2020,6,0,0,0
02/05/2020,6,0,0,0
02/06/2020,6,0,0,0
02/07/2020,6,0,0,0
02/08/2020,6,0,0,0
02/09/2020,6,0,0,0
02/10/2020,6,0,0,0
02/11/2020,7,0,1,0
02/12/2020,7,0,0,0
02/13/2020,8,0,1,0
02/14/2020,8,0,0,0
02/15/2020,8,0,0,0
02/16/2020,8,0,0,0
02/17/2020,8,0,0,0
02/18/2020,8,0,0,0
02/19/2020,8,0,0,0
02/20/2020,8,0,0,0
02/21/2020,10,0,2,0
02/22/2020,10,0,0,0
02/23/2020,10,0,0,0
02/24/2020,10,0,0,0
02/25/2020,10,0,0,0
02/26/2020,10,0,0,0
02/27/2020,11,0,1,0
02/28/2020,11,0,0,0
02/29/2020,12,0,1,0
03/01/2020,12,0,0,0
03/02/2020,21,1,9,1
03/03/2020,25,2,4,1
03/04/2020,35,11,10,9
03/05/2020,51,23,16,12
03/06/2020,59,31,8,8
03/07/2020,81,76,22,45
03/08/2020,95,106,14,30
03/09/2020,101,142,6,36
03/10/2020,144,150,43,8
03/11/2020,178,220,34,70
03/12/2020,221,327,43,107
03/13/2020,281,421,60,94
03/14/2020,372,613,91,192
03/15/2020,373,615,1,2
03/16/2020,557,967,184,352
03/17/2020,700,1578,143,611
03/18/2020,828,3038,128,1460
03/19/2020,1005,5704,177,2666
03/20/2020,1243,8403,238,2699
03/21/2020,1405,11727,162,3324
03/22/2020,1646,15800,241,4073
03/23/2020,2108,20884,462,5084
03/24/2020,2538,25681,430,4797
03/25/2020,2998,30841,460,5160
03/26/2020,3899,37877,901,7036
03/27/2020,4657,44876,758,6999
03/28/2020,5095,52410,438,7534
03/29/2020,5852,59648,757,7238
03/30/2020,7138,66663,1286,7015
03/31/2020,8210,75833,1072,9170
04/01/2020,9399,83948,1189,8115
04/02/2020,10773,92506,1374,8558
04/03/2020,12004,102987,1231,10481
04/04/2020,12837,113833,833,10846
04/05/2020,15034,123160,2197,9327
04/06/2020,16019,131815,985,8655
04/07/2020,17351,139875,1332,8060
04/08/2020,18897,151061,1546,11186
04/09/2020,19710,161779,813,10718
04/10/2020,21081,172348,1371,10569
04/11/2020,21706,181026,625,8678
04/12/2020,22795,189033,1089,8007
04/13/2020,23931,195749,1136,6716
04/14/2020,25356,203020,1425,7271
04/15/2020,26686,214454,1330,11434
04/16/2020,27677,223691,991,9237
04/17/2020,29157,230597,1480,6906
04/18/2020,30491,237474,1334,6877
04/19/2020,31431,243382,940,5908
04/20/2020,33686,248416,2255,5034
04/21/2020,35465,253519,1779,5103
04/22/2020,37344,258222,1879,4703
04/23/2020,39561,263460,2217,5238
04/24/2020,41355,271590,1794,8130
04/25/2020,42368,282143,1013,10553
04/26/2020,43558,288045,1190,5902
04/27/2020,44966,291996,1408,3951
04/28/2020,46164,295106,1198,3110
04/29/2020,48747,299691,2583,4585
04/30/2020,50130,304372,1383,4681
05/01/2020,52026,308314,1896,3942
05/02/2020,53347,312977,1321,4663
05/03/2020,54903,316415,1556,3438
05/04/2020,55884,318953,981,2538
05/05/2020,58456,321192,2572,2239
05/06/2020,60616,323978,2160,2786
05/07/2020,62148,327469,1532,3491
05/08/2020,63779,330407,1631,2938
05/09/2020,66558,333122,2779,2715
05/10/2020,67600,335395,1042,2273
05/11/2020,69329,337055,1729,1660
05/12/2020,70978,338485,1649,1430
05/13/2020,72798,340661,1820,2176
05/14/2020,74871,343051,2073,2390
05/15/2020,76693,345813,1822,2762
05/16/2020,78725,348232,2032,2419
05/17/2020,80166,350121,1441,1889
05/18/2020,81457,351371,1291,1250
05/19/2020,83752,352845,2295,1474
05/20/2020,85997,354370,2245,1525
05/21/2020,88031,356458,2034,2088
05/22/2020,90252,358154,2221,1696
05/23/2020,92539,359926,2287,1772
05/24/2020,94020,361515,1481,1589
05/25/2020,96400,362764,2380,1249
05/26/2020,99387,363836,2987,1072
05/27/2020,101050,364965,1663,1129
05/28/2020,103813,366733,2763,1768
05/29/2020,106622,368284,2809,1551
05/30/2020,109895,369660,3273,1376
05/31/2020,111951,370770,2056,1110
06/01/2020,114733,371711,2782,941
06/02/2020,117215,373040,2482,1329
06/03/2020,119348,374085,2133,1045
06/04/2020,122168,375133,2820,1048
06/05/2020,125738,376208,3570,1075
06/06/2020,128593,377316,2855,1108
06/07/2020,130615,378097,2022,781
