date,total_cases,cum_cases
2020-01-22,548,548
2020-01-23,95,643
2020-01-24,277,920
2020-01-25,486,1406
2020-01-26,669,2075
2020-01-27,802,2877
2020-01-28,2632,5509
2020-01-29,578,6087
2020-01-30,2054,8141
2020-01-31,1661,9802
2020-02-01,2089,11891
2020-02-02,4739,16630
2020-02-03,3086,19716
2020-02-04,3991,23707
2020-02-05,3733,27440
2020-02-06,3147,30587
2020-02-07,3523,34110
2020-02-08,2704,36814
2020-02-09,3015,39829
2020-02-10,2525,42354
2020-02-11,2032,44386
2020-02-12,373,44759
2020-02-13,15136,59895
2020-02-14,6463,66358
2020-02-15,2055,68413
2020-02-16,2100,70513
2020-02-17,1921,72434
2020-02-18,1777,74211
2020-02-19,408,74619
2020-02-20,458,75077
2020-02-21,473,75550
2020-02-22,1451,77001
2020-02-23,21,77022
2020-02-24,219,77241
2020-02-25,513,77754
2020-02-26,412,78166
2020-02-27,434,78600
2020-02-28,328,78928
2020-02-29,428,79356
2020-03-01,576,79932
2020-03-02,204,80136
2020-03-03,125,80261
2020-03-04,125,80386
2020-03-05,151,80537
2020-03-06,153,80690
2020-03-07,80,80770
2020-03-08,53,80823
2020-03-09,37,80860
2020-03-10,27,80887
2020-03-11,34,80921
2020-03-12,11,80932
2020-03-13,13,80945
2020-03-14,32,80977
2020-03-15,26,81003
2020-03-16,30,81033
2020-03-17,25,81058
2020-03-18,44,81102
2020-03-19,54,81156
2020-03-20,94,81250
2020-03-21,55,81305
2020-03-22,130,81435
2020-03-23,63,81498
2020-03-24,93,81591
2020-03-25,70,81661
2020-03-26,121,81782
2020-03-27,115,81897
2020-03-28,102,81999
2020-03-29,123,82122
2020-03-30,76,82198
2020-03-31,81,82279
2020-04-01,82,82361
2020-04-02,71,82432
2020-04-03,79,82511
2020-04-04,32,82543
2020-04-05,59,82602
2020-04-06,63,82665
2020-04-07,53,82718
2020-04-08,91,82809
2020-04-09,74,82883
2020-04-10,58,82941
2020-04-11,73,83014
2020-04-12,120,83134
2020-04-13,79,83213
2020-04-14,93,83306
2020-04-15,50,83356
2020-04-16,47,83403
2020-04-17,357,83760
2020-04-18,27,83787
2020-04-19,18,83805
2020-04-20,12,83817
2020-04-21,36,83853
2020-04-22,15,83868
2020-04-23,16,83884
2020-04-24,15,83899
2020-04-25,10,83909
2020-04-26,3,83912
2020-04-27,6,83918
2020-04-28,22,83940
2020-04-29,4,83944
2020-04-30,12,83956
2020-05-01,3,83959
2020-05-02,0,83959
2020-05-03,5,83964
2020-05-04,2,83966
2020-05-05,2,83968
2020-05-06,2,83970
2020-05-07,5,83975
2020-05-08,1,83976
2020-05-09,14,83990
2020-05-10,20,84010
2020-05-11,1,84011
2020-05-12,7,84018
2020-05-13,6,84024
2020-05-14,5,84029
2020-05-15,9,84038
2020-05-16,6,84044
2020-05-17,10,84054
2020-05-18,9,84063
2020-05-19,0,84063
2020-05-20,0,84063
2020-05-21,0,84063
2020-05-22,18,84081
2020-05-23,3,84084
2020-05-24,11,84095
2020-05-25,7,84102
2020-05-26,1,84103
2020-05-27,3,84106
2020-05-28,0,84106
2020-05-29,17,84123
2020-05-30,5,84128
2020-05-31,18,84146
2020-06-01,8,84154
2020-06-02,7,84161
2020-06-03,-1,84160
2020-06-04,11,84171
